answer,query,source
I fully understand.,"Gentlemen, we know how much you love hand-raising questions. So we promise, this is the only one tonight: the only one. Is there anyone on stage, and can I see hands, who is unwilling tonight to pledge your support to the eventual nominee of the Republican party and pledge to not run an independent campaign against that person. Again, we're looking for you to raise your hand now -- raise your hand now if you won't make that pledge tonight. Mr. Trump to be clear, you're standing on a Republican primary debate stage.",primary01
I fully understand.,The place where the RNC will give the nominee the nod.,primary01
"I cannot say. I have to respect the person that, if it's not me, the person that wins, if I do win, and I'm leading by quite a bit, that's what I want to do. I can totally make that pledge. If I'm the nominee, I will pledge I will not run as an independent. But -- and I am discussing it with everybody, but I'm, you know, talking about a lot of leverage. We want to win, and we will win. But I want to win as the Republican. I want to run as the Republican nominee.",And that experts say an independent run would almost certainly hand the race over to Democrats and likely another Clinton. You can't say tonight that you can make that pledge?,primary01
"Well, I've given him plenty of money.",...but I'd say that he's already hedging his bets because he's used to buying politicians.,primary01
I will not make the pledge at this time.,"Just to be clear, you can't make a -- we're gonna -- we're going to move on. You're not gonna make the pledge tonight?",primary01
Only Rosie O'Donnell.,"one of the things people love about you is you speak your mind and you don't use a politician's filter. However, that is not without its downsides, in particular, when it comes to women. You've called women you don't like ""fat pigs, dogs, slobs, and disgusting animals."" Your Twitter account...",primary01
"Yes, I'm sure it was.","For the record, it was well beyond Rosie O'Donnell.",primary01
"I think the big problem this country has is being politically correct. I've been challenged by so many people, and I don't frankly have time for total political correctness. And to be honest with you, this country doesn't have time either. This country is in big trouble. We don't win anymore. We lose to China. We lose to Mexico both in trade and at the border. We lose to everybody. And frankly, what I say, and oftentimes it's fun, it's kidding. We have a good time. What I say is what I say. And honestly Megyn, if you don't like it, I'm sorry. I've been very nice to you, although I could probably maybe not be, based on the way you have treated me. But I wouldn't do that. But you know what, we -- we need strength, we need energy, we need quickness and we need brain in this country to turn it around. That, I can tell you right now.","Your Twitter account has several disparaging comments about women's looks. You once told a contestant on Celebrity Apprentice it would be a pretty picture to see her on her knees. Does that sound to you like the temperament of a man we should elect as president, and how will you answer the charge from Hillary Clinton, who was likely to be the Democratic nominee, that you are part of the war on women?",primary01
"Border Patrol, I was at the border last week. Border Patrol, people that I deal with, that I talk to, they say this is what's happening. Because our leaders are stupid. Our politicians are stupid. And the Mexican government is much smarter, much sharper, much more cunning. And they send the bad ones over because they don't want to pay for them. They don't want to take care of them. Why should they when the stupid leaders of the United States will do it for them? And that's what is happening whether you like it or not.","I'll give you 30 seconds -- I'll give you 30 seconds to answer my question, which was, what evidence do you have, specific evidence that the Mexican government is sending criminals across the border? Thirty seconds.",primary01
"A complete disaster, yes.","Gentlemen, the next series of questions deals with ObamaCare and the role of the federal government. ObamaCare is one of the things you call a disaster.",primary01
"First of all, I'd like to just go back to one. In July of 2004, I came out strongly against the war with Iraq, because it was going to destabilize the Middle East. And I'm the only one on this stage that knew that and had the vision to say it. And that's exactly what happened.","Now, 15 years ago, uncalled yourself a liberal on health care. You were for a single-payer system, a Canadian-style system. Why were you for that then and why aren't you for it now? ",primary01
"And the Middle East became totally destabilized. So I just want to say. As far as single payer, it works in Canada. It works incredibly well in Scotland. It could have worked in a different age, which is the age you're talking about here. What I'd like to see is a private system without the artificial lines around every state. I have a big company with thousands and thousands of employees. And if I'm negotiating in New York or in New Jersey or in California, I have like one bidder. Nobody can bid. You know why? Because the insurance companies are making a fortune because they have control of the politicians, of course, with the exception of the politicians on this stage. But they have total control of the politicians. They're making a fortune. Get rid of the artificial lines and you will have...",But on ObamaCare...,primary01
