answer,query,source
" Well, I hadn’t thought of doing it, but if you want I can give you some of the names… Walid Phares, who you probably know, PhD, adviser to the House of Representatives caucus, and counter-terrorism expert; Carter Page, PhD; George Papadopoulos, he’s an energy and oil consultant, excellent guy; the Honorable Joe Schmitz,  inspector general at the Department of Defense;  Lt. Gen. Keith Kellogg; and I have quite a few more. But that’s a group of some of the people that we are dealing with. We have many other people in different aspects of what we do, but that’s a representative group.", Thank you… We’ve heard you’re going to be announcing your foreign policy team shortly… Any you can share with us?,editorial
" No, other than to say, we’re working hard, I think we’re all in the same business of trying to make our country better, a better place, so we have something in common. I’ve been treated very, very badly by The Washington Post, but, you know, I guess — and I’m your neighbor, I’m your neighbor right down the road, in fact we’re actually giving a press conference there in a little while, I think your people are going to be there. And by the way, Bob Costa is an excellent reporter, I’ve found him to be just an excellent reporter. I should tell you, because I have to give you the good and the bad. Not that he does me any favors, because he doesn’t, but he’s a real professional.  I know how to get things done.", Do you want to start out?,editorial
" Well, because I know so many of them, and because in many cases I like them, I hate to get totally involved. I think George Shultz was very good, I thought he was excellent. I can tell you, I think your last secretary of state and your current secretary of state have not done much. I think John Kerry’s deal with Iran is one of the worst things that I’ve ever seen negotiated of any kind. It’s just a horrible giveaway."," If I could, I’d start by asking is there a secretary of state and a secretary of defense in the modern era who you think have done a good job? Who do you think were the best?",editorial
" Well, I think, number one, we shouldn’t have given the money back. I think, number two, we should have had our prisoners before the negotiations started. We should have doubled up the sanctions. We should have gone in and said, ‘release our prisoners,’ they would have said ‘no,’ and we would have said, ‘double up the sanctions,’ and within a short period of time we would have had our prisoners back. And I think that was a terrible mistake. I think giving the money back was a terrible mistake. And by the way they are not using the money on us, they are not buying anything from us, they’re buying, you noticed, they didn’t buy Boeing, they bought Airbus, 118 planes from what I understand, but they bought them all from Airbus, they go out of their way not to spend any money in our country. So I wouldn’t have done that. And I think it’s going to just lead, actually, to nuclear problems. I also think it’s going to be bad for Israel. It’s a very bad deal for Israel.", What in particular?,editorial
" I do think it’s a different world today and I don’t think we should be nation building anymore. I think it’s proven not to work. And we have a different country than we did then. You know we have 19 trillion dollars in debt. We’re sitting probably on a bubble and, you know, it’s a bubble that if it breaks is going to be very nasty. And I just think we have to rebuild our country. If you look at the infrastructure — I just landed at an airport where, not in good shape, not in good shape. If you go to Qatar and if you go to  you see airports the likes of which you have never seen before. Dubai, different places in China. You see infrastructure, you see airports, other things, the likes of which you have never seen here."," George Shultz, it’s interesting, was associated with a foreign policy of Reagan that was very much devoted to promoting democracy and freedom overseas. Is that something you think in today’s world the United States should be doing?",editorial
" Well, there is, I just think that we have values in our country that we have to promote. We have a country that is in bad shape, it’s in bad condition. You look at our inner cities, our inner cities are a horrible mess. I watched Baltimore, I have many, many friends in Baltimore, we watched what happened. St. Louis, Ferguson, Oakland, it could have been much worse over the summer. And it will probably be worse this summer. But you look at some of our inner cities. And yet you know I watched as we built schools in Iraq and they’d be blown up. And we’d build another one and it would get blown up. And we would rebuild it three times. And yet we can’t build a school in Brooklyn. We have no money for education, because we can’t build in our own country. And at what point do you say hey, we have to take care of ourselves. So, you know, I know the outer world exists and I’ll be very cognizant of that but at the same time, our country is disintegrating, large sections of it, especially in the inner cities."," Short of nation building, is there any role in promoting values or democracy? Or that’s not something…",editorial
" Well, number one, I’d create economic zones. I’d create incentives for companies to move in. I’d work on spirit because the spirit is so low, it’s incredible, the unemployment, you look at unemployment for black youth in this country, African American youth, is 58-59 percent. It’s unthinkable. Unemployment for African Americans – not youth, but African Americans – is very high. And I would create in the inner cities, which is what I really do best, that’s why when I open a building and I show you it’s way ahead of schedule, under budget and everything else—I think it was the Rite Aid store, the store in Baltimore it took them 20 years to get it built, one store, and then it burned down in one night—we have to create incentives for people to love what they are doing, and to make money. And to create, you know, to really create a better life for themselves. And you can’t – it doesn’t seem right that you will have a situation like Baltimore, and many other places, let’s use Baltimore as an example, there are many Baltimores in this country. Detroit is maybe even a better example than Baltimore. But that you’ll have a situation like that, and then we’re over nation building with other, with countries that in many cases don’t want us there. They want our money, but they don’t want us."," So what would you do for Baltimore, let’s say.",editorial
" Well I’ve never really see anything that – you know, I feel very strongly about law enforcement. And, you know, if you look at the riot that took place over the summer, if that were stopped – it all, it mostly took place on the first evening, and if that were stopped on the first evening, you know, you’d have a much nicer city right now, because much of that damage and much of the destruction was done on Evening One. So I feel that law enforcement, it’s got to play a big role. It’s got to play a big role. But that’s a pretty good example, because tremendous amounts of damage was done that first evening – first two evenings, but the first evening in particular. And so I’m a very strong believer in law enforcement, but I’m also a very strong believer that the inner cities can come back."," The root of many people’s unhappiness in Baltimore was the perception that blacks are treated differently by law enforcement. And the disproportionate – do you think it’s a problem that the percentage of blacks in prison is higher than whites, and what do you think is the root of that situation?",editorial
" Well, look, I mean, I have to see what happens with the trial. I—"," Do you see any racial disparities in law enforcement – I mean, what set it off was the Freddie Gray killing, as you know. Is that an issue that concerns you?",editorial
" I’ve read where there are and I’ve read where there aren’t. I mean, I’ve read both. And, you know, I have no opinion on that. Because frankly, what I’m saying is you know we have to create incentives for people to go back and to reinvigorate the areas and to put people to work.  And you know we have lost million and millions of jobs to China and other countries. And they’ve been taken out of this country, and when I say millions, you know it’s, it’s tremendous. I’ve seen 5 million jobs, I’ve seen numbers that range from 6 million to, to smaller numbers. But it’s many millions of jobs, and it’s to countries all over. Mexico is really becoming the new China. And I have great issue with that. Because you know I use in speeches sometimes Ford or sometimes I use Carrier – it’s all the same Ford, Carrier, Nabisco, so many of the companies — they’re moving to Mexico now. And you know we shouldn’t be allowing that to happen. And tremendous unemployment, tremendous. They’re allowing tremendous people that have worked for the companies for a long time, they’re allowing, if they want to move around and they want to work on incentives within the United States, that’s one thing, but when they take these companies out of the United States. Other countries are outsmarting us by giving them advantages, you know, like in the case of Mexico. In the case of many other countries. Like Ireland is, you’re losing Pfizer to Ireland, a great pharmaceutical company that with many, many jobs and it’s going to move to Ireland."," Well, forget Freddie Gray, but in general, do you believe there are disparities in law enforcement?",editorial
