answer,query,source
"And you know, Mike has been such a wise decision for me. When people were saying, “I don’t know. How good is he at decision-making?” they always said, “Yep, but he picked Mike Pence. That’s a good decision.”","I want to thank all of the dignitaries that are with us today. We have a whole host. The mayor, the governor-elect, great people. It’s a big victory for the governor-elect. He won very convincingly so we’re very proud of him.",0516_carrier
And everybody loves Mike. He’s become something very special.,"And you know, Mike has been such a wise decision for me. When people were saying, “I don’t know. How good is he at decision-making?” they always said, “Yep, but he picked Mike Pence. That’s a good decision.”",0516_carrier
"I want to thank Greg Hayes of United Technologies because when I called him, he was right there. I wish I could have made the call when they were doing their original decision. But it worked out just as well other than I would have liked to have an answer a year and a half ago.",And everybody loves Mike. He’s become something very special.,0516_carrier
"We had a tremendous love affair with the state of Indiana. Because if you remember during the primaries, this was going to be the firewall. This was where they were going to stop Trump. Right? And that didn’t work out too well.","I want to thank Greg Hayes of United Technologies because when I called him, he was right there. I wish I could have made the call when they were doing their original decision. But it worked out just as well other than I would have liked to have an answer a year and a half ago.",0516_carrier
"And it was a firewall for me. It was a firewall. And we won by 16 points, and the election we just won by 20 points – almost 20 points.","We had a tremendous love affair with the state of Indiana. Because if you remember during the primaries, this was going to be the firewall. This was where they were going to stop Trump. Right? And that didn’t work out too well.",0516_carrier
And that was some victory. That’s pretty – that’s pretty great. And I just love the people – incredible people. So I got involved because of the love affair I’ve had.,"And it was a firewall for me. It was a firewall. And we won by 16 points, and the election we just won by 20 points – almost 20 points.",0516_carrier
"This has been a very special state to us, and I’ll never forget.",And that was some victory. That’s pretty – that’s pretty great. And I just love the people – incredible people. So I got involved because of the love affair I’ve had.,0516_carrier
"About a week ago I was watching the nightly news. I won’t say which one because I don’t want to give them credit because I don’t like him much, I’ll be honest. I don’t like him. Not even a little bit.","This has been a very special state to us, and I’ll never forget.",0516_carrier
"But they were doing a story on Carrier. And I say “Wow, that’s something. I want to see that.” And they had a gentleman, worker, great guy, handsome guy, he was on, and it was like he didn’t even know they were leaving. He said something to the effect, “No, we’re not leaving because Donald Trump promised us that we’re not leaving.”","About a week ago I was watching the nightly news. I won’t say which one because I don’t want to give them credit because I don’t like him much, I’ll be honest. I don’t like him. Not even a little bit.",0516_carrier
"And I never thought I made that promise, not with Carrier. I made it for everybody else. I didn’t make it really for Carrier.","But they were doing a story on Carrier. And I say “Wow, that’s something. I want to see that.” And they had a gentleman, worker, great guy, handsome guy, he was on, and it was like he didn’t even know they were leaving. He said something to the effect, “No, we’re not leaving because Donald Trump promised us that we’re not leaving.”",0516_carrier
"And I said, “What’s he saying?” And he was such a believer. He was such a great guy. He said, “I’ve been with Donald Trump from the beginning, and he made the statement that Carrier’s not going anywhere. They’re not leaving.” I said to myself, “Man.”","And I never thought I made that promise, not with Carrier. I made it for everybody else. I didn’t make it really for Carrier.",0516_carrier
"And then they played my statement and I said, “Carrier will never leave.” But that was a euphemism. I was talking about Carrier like all other companies from here on in because they made the decision a year and a half ago.","And I said, “What’s he saying?” And he was such a believer. He was such a great guy. He said, “I’ve been with Donald Trump from the beginning, and he made the statement that Carrier’s not going anywhere. They’re not leaving.” I said to myself, “Man.”",0516_carrier
"But he believed that that was – and I could understand it – I actually said, I didn’t make it. When they played that, I said, “I did make it but I didn’t mean it quite that way.”","And then they played my statement and I said, “Carrier will never leave.” But that was a euphemism. I was talking about Carrier like all other companies from here on in because they made the decision a year and a half ago.",0516_carrier
"So now because of him, whoever that guy was – is he in the room by any chance? That’s your son? Stand up. You did a good job. You did a great job. Right? That’s fantastic. And I love your son.","But he believed that that was – and I could understand it – I actually said, I didn’t make it. When they played that, I said, “I did make it but I didn’t mean it quite that way.”",0516_carrier
"Oh, wow! Oh! Put it…Go ahead, put it on. Well, your son is great. And he meant that, didn’t he? He really meant it.","So now because of him, whoever that guy was – is he in the room by any chance? That’s your son? Stand up. You did a good job. You did a great job. Right? That’s fantastic. And I love your son.",0516_carrier
"At first I said, “I wonder if he’s being sarcastic because this ship has sailed.” And then I said, it was 6:30 in the evening, and I said, “Boy, the first thing I’m going to do is go there.” And I said, “Do I call the head of Carrier, who’s a great guy?”","Oh, wow! Oh! Put it…Go ahead, put it on. Well, your son is great. And he meant that, didn’t he? He really meant it.",0516_carrier
But I’ve always learned I’ve got to call the top. And I heard about Greg Hayes. He’s a great executive.,"At first I said, “I wonder if he’s being sarcastic because this ship has sailed.” And then I said, it was 6:30 in the evening, and I said, “Boy, the first thing I’m going to do is go there.” And I said, “Do I call the head of Carrier, who’s a great guy?”",0516_carrier
"You know, I don’t know if you know United Technologies is one of the top 50 companies in the United States and one of the top companies anywhere in the world. They make many other things other than air conditioners. Believe me. Their list of companies is incredible.",But I’ve always learned I’ve got to call the top. And I heard about Greg Hayes. He’s a great executive.,0516_carrier
"So I called Greg Hayes. I’d heard of him but I’d never met him, and he picked up the phone, “Mr. President-elect, sir, how are you?”","You know, I don’t know if you know United Technologies is one of the top 50 companies in the United States and one of the top companies anywhere in the world. They make many other things other than air conditioners. Believe me. Their list of companies is incredible.",0516_carrier
It’s wonderful to win. You know that.,"So I called Greg Hayes. I’d heard of him but I’d never met him, and he picked up the phone, “Mr. President-elect, sir, how are you?”",0516_carrier
"Think if I lost, he wouldn’t have returned my call.",It’s wonderful to win. You know that.,0516_carrier
