accept <yourself>
bbq <chicken>
be <happy>
beauty <sleep>
black <jack>
come <back>
chit <chat>
cream <sugar>
define <success>
dream <big>
easter <egg>
encoder <decoder>
false <alarm>
fight <on>
flat <tire>
free <samples>
good <morning>
hello <world>
honesty <rules>
ice <cream>
instant <replay>
live <music>
look <forward>
love <hate>
lovin <it>
milk <pail>
mish <mash>
move <on>
next <up>
opt <out>
oven <mitt>
quick <fox>
ripe <fruit>
real <time>
see <saw>
small <ball>
start <living>
stay <positive>
sweet <corn>
tall <giant>
thank <you>
trust <me>
try <again>
user <friendly>
virtual <reality>
wishy <washy>
work <hard>
wrong <way>
ying <yang>
zig <zag>
